class,x11,y11,z11,v11,x12,y12,z12,v12,x13,y13,z13,v13,x14,y14,z14,v14,x15,y15,z15,v15,x16,y16,z16,v16,x17,y17,z17,v17,x18,y18,z18,v18,x19,y19,z19,v19,x20,y20,z20,v20,x21,y21,z21,v21,x22,y22,z22,v22,x23,y23,z23,v23,x24,y24,z24,v24,x25,y25,z25,v25,x26,y26,z26,v26,x27,y27,z27,v27,x28,y28,z28,v28,x29,y29,z29,v29,x30,y30,z30,v30,x31,y31,z31,v31,x32,y32,z32,v32
jumping,0.493977219,0.178449646,0.016335674,0.999998212,0.415913075,0.18248409,-0.084286816,0.999999523,0.541226625,0.259137332,-0.063812919,0.987310648,0.374200225,0.289464533,-0.161989287,0.994882464,0.500097811,0.221651912,-0.251165479,0.964041054,0.439343125,0.25047487,-0.239524186,0.97286272,0.490085006,0.209960371,-0.280201703,0.918920875,0.45279032,0.245900974,-0.264962018,0.926667869,0.48507148,0.197820529,-0.274550587,0.900519371,0.455844641,0.23469536,-0.247391671,0.914132297,0.486150324,0.204455569,-0.252496541,0.874936461,0.452738255,0.235070527,-0.2319417,0.881630003,0.460691839,0.388980359,0.056714647,0.99999702,0.423576385,0.383445323,-0.056913182,0.999995112,0.526572585,0.499873847,-0.004306869,0.899482787,0.4885827,0.470748752,-0.140441179,0.972795725,0.422289222,0.469885319,0.219662726,0.435338914,0.399831206,0.47191453,0.039124355,0.857800603,0.404530466,0.447969824,0.243418053,0.554105282,0.388574541,0.457304597,0.059383038,0.864053488,0.393824935,0.505305231,0.265955955,0.537716329,0.379007578,0.510680437,0.060548835,0.91180402
jumping,0.561365843,0.529096425,-0.188906372,0.999785841,0.493570298,0.530357003,-0.19356133,0.999643683,0.638428688,0.465296805,-0.30246833,0.981764138,0.439291716,0.472638965,-0.304824144,0.985658705,0.694943666,0.406718403,-0.436001271,0.981212556,0.377523839,0.403831661,-0.456572682,0.985437214,0.705927074,0.393844604,-0.49069953,0.956811547,0.363595188,0.386611879,-0.513888955,0.963604093,0.700451136,0.389329731,-0.504376948,0.955352902,0.365570366,0.38493371,-0.520254254,0.96367234,0.698444963,0.394469231,-0.454837441,0.957356334,0.37396419,0.389241427,-0.471495241,0.963623762,0.550926685,0.685808122,-0.002415953,0.999818265,0.516283095,0.689665854,0.002334845,0.999804199,0.59622556,0.771027446,0.063424148,0.961546659,0.46408999,0.760120451,0.022640167,0.978696108,0.660698533,0.84848088,0.321913421,0.961928487,0.395776838,0.851705194,0.276950985,0.972938895,0.65734446,0.861187696,0.3391985,0.852601588,0.402533621,0.85509938,0.29364714,0.904583097,0.678623497,0.876513541,0.1785862,0.934527874,0.37761119,0.87182349,0.134002805,0.951284647
jumping,0.586215377,0.192546487,-0.204063132,0.999999046,0.487064034,0.27773875,0.031729031,0.999983907,0.688797891,0.152347237,-0.233061984,0.999244213,0.403661668,0.338413119,0.027605476,0.876164198,0.675933659,0.282742262,-0.291059554,0.989205122,0.319178045,0.324798763,-0.073113509,0.752492785,0.68054527,0.313286662,-0.325268567,0.956724346,0.299922675,0.310214847,-0.088217773,0.628129065,0.668456495,0.318444073,-0.331288368,0.953222871,0.300598204,0.302663207,-0.112200722,0.639923036,0.666048706,0.304490089,-0.295151055,0.961169064,0.308443367,0.30896908,-0.088896491,0.685968459,0.635838091,0.463446707,-0.081781805,0.999999285,0.579954028,0.484949857,0.08180102,0.99999702,0.667218685,0.672207713,-0.23511152,0.996187031,0.440759242,0.482867628,0.078346141,0.964505732,0.80976069,0.622281551,-0.107476398,0.955146313,0.317332894,0.58360666,-0.00891172,0.970220625,0.828677297,0.599086821,-0.091545619,0.918361723,0.294186354,0.63329041,-0.02015041,0.964392483,0.852734864,0.68454814,-0.142546102,0.937507927,0.233322352,0.541899979,-0.0648119,0.957886219
jumping,0.402239561,0.42400527,-0.118878037,0.999905825,0.319247097,0.448536903,-0.176068187,0.99992156,0.419355065,0.365231723,-0.274971962,0.963368893,0.234269634,0.397872776,-0.23051478,0.988272846,0.426228255,0.316604465,-0.4345496,0.957986534,0.16250132,0.349199235,-0.324758708,0.96810329,0.431294948,0.303751767,-0.489788115,0.915800273,0.14465183,0.336580098,-0.370941341,0.929305851,0.424063027,0.301757753,-0.495432884,0.914176226,0.147666574,0.333882749,-0.373242915,0.930165768,0.421922296,0.306751996,-0.450152546,0.914725065,0.154389948,0.338876784,-0.33496955,0.930682898,0.42548728,0.569237351,0.029957581,0.999995589,0.357097983,0.572194159,-0.030217813,0.999992132,0.457603753,0.683677495,0.000686223,0.882650316,0.310528398,0.669727266,-0.08824227,0.955243111,0.424670458,0.686080694,0.510778964,0.481288493,0.192319691,0.646219611,0.371104211,0.707769871,0.414668649,0.677138388,0.563237607,0.499615192,0.185731992,0.637007236,0.420407087,0.696663499,0.421846926,0.713868499,0.519667923,0.466782719,0.147946179,0.670665622,0.391589016,0.676276684
jumping,0.686255455,0.209366396,0.237768322,0.99785763,0.525033534,0.203189507,-0.104600497,0.998386145,0.854942739,0.229854539,0.141350731,0.964655995,0.378556013,0.25411433,-0.142355293,0.9947384,0.781613886,0.206060886,-0.235933125,0.946501791,0.234706417,0.277193785,-0.248383641,0.979213536,0.75268662,0.201320797,-0.298693955,0.88777256,0.186303556,0.268268704,-0.29523012,0.960246086,0.732597768,0.199039996,-0.303457826,0.882888317,0.189512402,0.263182491,-0.351911128,0.962547779,0.735405803,0.200256273,-0.250995964,0.881419778,0.206796348,0.268030286,-0.274014682,0.961856008,0.636103392,0.444462836,0.164366752,0.996127188,0.56857574,0.435507298,-0.164383546,0.993549407,0.689794421,0.620313406,0.085055292,0.614703894,0.685026884,0.623637319,-0.233427197,0.828089535,0.486981243,0.779464543,0.188167751,0.643544316,0.590409458,0.789453506,-0.204273134,0.790326893,0.479659081,0.791518629,0.189673036,0.62816298,0.556414306,0.803138077,-0.207105264,0.549748957,0.576752424,0.842655897,0.044871476,0.652997911,0.658370793,0.850833952,-0.395654082,0.756113112
jumping,0.534481525,0.312701643,-0.135431841,0.999315262,0.469078451,0.261921138,-0.045553323,0.99932158,0.590361595,0.35630554,-0.135136619,0.98916012,0.442313999,0.223568395,0.028701447,0.949254334,0.642071545,0.3929497,-0.17463094,0.97480315,0.410938114,0.186679274,0.05741154,0.933479726,0.658916593,0.400082886,-0.18683888,0.94751662,0.401152402,0.174725205,0.061716579,0.875563085,0.659018219,0.398253232,-0.209332764,0.951796412,0.402455717,0.17456308,0.038588889,0.886205137,0.653234839,0.397187978,-0.185874358,0.953937829,0.405458182,0.178624362,0.046708521,0.892686844,0.495094687,0.456290692,-0.02563842,0.999940038,0.449169219,0.453654379,0.025539134,0.999955893,0.497813672,0.574670494,-0.091825873,0.886481822,0.439122051,0.586726725,-0.041034959,0.868556559,0.512045562,0.49214977,0.259222329,0.081616297,0.461859584,0.504852891,0.306790441,0.091466375,0.510483503,0.462066859,0.299762636,0.096352294,0.461591631,0.487607837,0.347649425,0.13178505,0.52482307,0.47619155,0.348450512,0.109261565,0.473624766,0.513176858,0.413461059,0.118805252
jumping,0.540249705,0.195226923,-0.057404358,0.99999702,0.419822097,0.188557804,-0.132302582,0.999996066,0.638865709,0.230308101,-0.055007558,0.975641549,0.321196586,0.170490772,-0.198859841,0.993210256,0.726447761,0.268908501,-0.171842173,0.947670341,0.233208239,0.156135306,-0.328775674,0.980410397,0.75059247,0.276313335,-0.195550948,0.895404875,0.209771901,0.155069485,-0.376201421,0.952841401,0.745793462,0.278513432,-0.249090955,0.899386346,0.212904662,0.153938308,-0.39828372,0.953953147,0.736856401,0.276783049,-0.202335,0.907720447,0.22028023,0.154954478,-0.349404275,0.955539346,0.52190727,0.350200325,0.026634615,0.999998093,0.433447152,0.349691272,-0.026455551,0.999996066,0.655457377,0.420086145,-0.075309955,0.996890247,0.300769031,0.424887538,-0.153332666,0.996749997,0.810174942,0.482570767,0.010047375,0.996188462,0.161621183,0.489822626,-0.021652658,0.993751466,0.824601769,0.502133608,0.011988631,0.975102603,0.149329364,0.508724093,-0.014600444,0.965940177,0.869817793,0.463512957,-0.13404803,0.987725556,0.09137243,0.487560868,-0.150342643,0.981970549
jumping,0.64724797,0.310719997,-0.04961269,0.999798238,0.49064219,0.297219962,-0.358063906,0.999931216,0.749562979,0.249535143,-0.162736699,0.9466663,0.44189769,0.195265532,-0.566662073,0.99830097,0.811285257,0.161632732,-0.36855489,0.95140332,0.39068225,0.095481008,-0.73225081,0.993242681,0.824473739,0.139200807,-0.427367866,0.908368409,0.384419829,0.071198493,-0.803634584,0.980660617,0.808794737,0.130297333,-0.451779485,0.905436039,0.391567588,0.067818373,-0.805324137,0.980290353,0.801886976,0.139217913,-0.398246914,0.915939212,0.396978706,0.077575803,-0.745737553,0.980429649,0.541735411,0.515859127,0.142571598,0.999779284,0.461268216,0.508338928,-0.142587334,0.999804914,0.666406751,0.610576868,-0.0454094,0.907717109,0.500854135,0.649739206,-0.342561066,0.984425664,0.598791122,0.760874748,0.182845578,0.930842996,0.321494997,0.755080223,-0.13360776,0.969109714,0.56431365,0.773169875,0.195166185,0.901286125,0.291005969,0.756627321,-0.118521273,0.897002161,0.656452894,0.824844658,0.047052305,0.910441458,0.329573333,0.823221624,-0.289353848,0.94711864
jumping,0.654474735,0.222019985,0.302859068,0.989914298,0.59317863,0.174079627,-0.140635893,0.999345362,0.564495504,0.245347247,0.345024914,0.218461454,0.448401898,0.117886603,-0.318969876,0.992935479,0.513470113,0.263978899,0.255155981,0.271528602,0.309639692,0.075423807,-0.462520897,0.980717361,0.498933673,0.273060322,0.251328528,0.256991714,0.258562148,0.053571045,-0.502784252,0.968046486,0.504269183,0.271918714,0.21004197,0.261577487,0.259682387,0.054844379,-0.51046133,0.969426334,0.506353736,0.268449724,0.23070468,0.27369675,0.278080583,0.064880282,-0.468848407,0.967383265,0.551821172,0.431594551,0.153622389,0.99811244,0.493947595,0.422114104,-0.153390259,0.999218464,0.62117368,0.58695066,0.064103402,0.697487712,0.547632396,0.607829511,-0.295555711,0.973378479,0.442800641,0.707462788,0.075976253,0.803222299,0.400443673,0.747802734,-0.250042647,0.961889446,0.402247906,0.718442142,0.069702722,0.742860496,0.351262033,0.754007578,-0.246461645,0.892995059,0.47649461,0.788223624,-0.027466414,0.846574426,0.439918578,0.816709042,-0.354010254,0.947180867
jumping,0.573661208,0.302763939,0.166260943,0.999988556,0.517141163,0.279144108,-0.057438042,0.999986291,0.597131371,0.222291008,0.231474265,0.54501915,0.511976659,0.178991318,-0.140982002,0.991352737,0.611628711,0.163199931,0.24522762,0.620122433,0.485594034,0.07898581,-0.142956242,0.950101435,0.619449377,0.149281561,0.247929513,0.578399599,0.472859353,0.058510125,-0.173271865,0.888334632,0.618010998,0.148903161,0.225502044,0.574557602,0.476372421,0.055740412,-0.163072035,0.880553722,0.614987731,0.15348044,0.230931416,0.619368017,0.480946988,0.064396411,-0.143728837,0.883136094,0.544132411,0.535946906,0.069601007,0.99999845,0.493902653,0.509222031,-0.069407664,0.999996543,0.639865339,0.590952635,0.014216956,0.994982421,0.393932223,0.570729554,-0.167355552,0.998960257,0.727319837,0.680663466,0.045342226,0.995301247,0.295992732,0.609339952,-0.076770194,0.995167613,0.732262373,0.7103737,0.044554546,0.98231411,0.286786258,0.610767186,-0.0704014,0.975474775,0.775707424,0.662728786,-0.038104422,0.988965154,0.258012921,0.630750477,-0.147396952,0.987269044
jumping,0.289543629,0.471572787,0.089636602,0.999968052,0.199169785,0.442412317,-0.230992541,0.999975562,0.390527964,0.463218957,0.161442459,0.870740533,0.202421978,0.358150154,-0.435034573,0.997858465,0.489624381,0.439010024,0.108315162,0.89610374,0.215566203,0.272558749,-0.510293305,0.990692079,0.518344402,0.431216955,0.099982984,0.846026838,0.210985482,0.260704279,-0.560019612,0.971812725,0.521274924,0.427303523,0.069750823,0.851507187,0.219403997,0.261380851,-0.537002563,0.970647573,0.509785175,0.430681229,0.08607091,0.867956638,0.22050567,0.265051246,-0.510937929,0.970552802,0.230424166,0.606171787,0.084605336,0.999986887,0.154728502,0.59629339,-0.08468955,0.999972701,0.276128232,0.70812583,-0.051715616,0.990993559,0.092572846,0.699434042,-0.077207856,0.991119802,0.208933011,0.770690382,0.212262005,0.980243802,0.001770362,0.702834368,0.347321421,0.97290957,0.19160682,0.769552171,0.237019405,0.941877604,-0.008196831,0.697664678,0.390681446,0.93320024,0.209409043,0.821142435,0.134214297,0.970678329,-0.035554722,0.739573002,0.34311682,0.95970732
jumping,0.454902381,0.258713156,0.109637469,0.99988389,0.37038821,0.275453091,-0.215557069,0.999982953,0.504473627,0.171545386,0.127580464,0.884183884,0.297870696,0.213401943,-0.395070195,0.999396801,0.53663069,0.077949554,0.108741589,0.93759352,0.225367516,0.150380284,-0.589200795,0.998089731,0.544023395,0.049115777,0.098862559,0.89335674,0.204873398,0.132250398,-0.641207635,0.994886577,0.538022101,0.043513179,0.074215949,0.89034009,0.209203303,0.129814297,-0.638208449,0.994950533,0.534364164,0.051196843,0.089881837,0.89817524,0.216031358,0.136653513,-0.596468329,0.994301677,0.433360785,0.503512621,0.11629755,0.999988914,0.393374652,0.496081799,-0.116225921,0.999989986,0.477436483,0.637318075,0.045156263,0.821124256,0.449167132,0.636891365,-0.223511636,0.987116277,0.320470452,0.656951129,0.310760289,0.748023689,0.300991416,0.659655929,0.037275139,0.961438,0.304885983,0.632078469,0.336756885,0.789671361,0.278347373,0.631384969,0.069077767,0.944654226,0.303301841,0.720773935,0.318813831,0.814393163,0.247701585,0.722844243,0.050926909,0.961742103
jumping,0.561121404,0.332493812,-0.156717882,0.997978985,0.390107602,0.321498275,-0.172505826,0.993765235,0.648234785,0.331070542,-0.299055755,0.946707547,0.292933345,0.278620005,-0.4771263,0.936148345,0.781085253,0.331964374,-0.531110466,0.885300875,0.298296273,0.25512439,-0.811779678,0.862218976,0.813103139,0.326509714,-0.589384615,0.826818168,0.293939769,0.250437111,-0.897228599,0.75784874,0.804614186,0.327081919,-0.628018022,0.837935567,0.307208449,0.246005565,-0.892447829,0.761738598,0.786080241,0.329398632,-0.558775961,0.857472301,0.310278833,0.251301199,-0.829389811,0.779332161,0.533391356,0.534664452,-0.011584218,0.999433935,0.417819411,0.533429027,0.011462222,0.999214888,0.577620864,0.667798281,0.081094891,0.982335269,0.373365015,0.663476527,0.090215318,0.985862792,0.628588319,0.773856342,0.451923639,0.973726392,0.370318085,0.77764976,0.445131898,0.977373004,0.621529937,0.778680682,0.479252785,0.733213842,0.383920938,0.786979616,0.47018528,0.818141937,0.640956879,0.832992196,0.261320412,0.934488714,0.349840611,0.838667154,0.260676324,0.953512788
jumping,0.558819592,0.52849853,-0.079233095,0.999929309,0.490833879,0.566965461,-0.106660224,0.999963403,0.609672606,0.511047959,-0.067392394,0.993747473,0.439360619,0.597627461,-0.089912377,0.997828424,0.659537971,0.470332801,-0.12242879,0.986415207,0.381886214,0.615843773,-0.139958575,0.992858171,0.673915863,0.458835542,-0.127750218,0.969917417,0.368818045,0.614836931,-0.143839791,0.98268503,0.673717439,0.455202937,-0.155786708,0.971232057,0.368850052,0.612931967,-0.169490591,0.984767258,0.668779612,0.459669709,-0.136698112,0.972044528,0.373057008,0.613741934,-0.151943326,0.984799862,0.564691663,0.712624848,0.012164774,0.999994993,0.524704456,0.711041689,-0.012037672,0.999993563,0.577503681,0.819746792,-0.093263276,0.9545241,0.533438265,0.823987603,-0.139828891,0.986753225,0.505364478,0.807297647,0.121909231,0.546983123,0.474184185,0.802688599,0.044474021,0.793335736,0.495005488,0.789065242,0.144318983,0.558271527,0.462211013,0.787860751,0.06492354,0.787851512,0.479100615,0.837499201,0.147625998,0.583886445,0.442913681,0.825794399,0.068906598,0.834779143
